253	Des O'Connor	I Pretend	1968	Columbia	24 July 1968	1
254	Tommy James and the Shondells	Mony Mony	1968	Major Minor	31 July 1968	2
255	The Crazy World of Arthur Brown	Fire	1968	Track	14 August 1968	1
256	The Beach Boys	Do It Again	1968	Capitol	28 August 1968	1
257	Bee Gees	I've Gotta Get a Message to You	1968	Polydor	4 September 1968	1
258	The Beatles	Hey Jude	1968	Apple	11 September 1968	2
259	Mary Hopkin	Those Were the Days	1968	Apple	25 September 1968	6
260	Joe Cocker	With a Little Help from My Friends	1968	Regal Zonophone	6 November 1968	1
261	Hugo Montenegro	The Good, the Bad and the Ugly	1968	RCA	13 November 1968	4
262	The Scaffold	Lily the Pink	1968	Parlophone	11 December 1968	3
263	Marmalade	Ob-La-Di, Ob-La-Da	1969	CBS	1 January 1969	1
re	The Scaffold	Lily the Pink	1969	Parlophone	8 January 1969	1
264	Fleetwood Mac	Albatross	1969	Blue Horizon	29 January 1969	1
265	The Move	Blackberry Way	1969	Regal Zonophone	5 February 1969	1
266	Amen Corner	(If Paradise Is) Half as Nice	1969	Immediate	12 February 1969	2
267	Peter Sarstedt	Where Do You Go To (My Lovely)?	1969	United Artists	26 February 1969	4
268	Marvin Gaye	I Heard It Through the Grapevine	1969	Tamla Motown	26 March 1969	3
269	Desmond Dekker and the Aces	Israelites	1969	Pyramid	16 April 1969	1
270	The Beatles with Billy Preston	Get Back	1969	Apple	23 April 1969	6
271	Tommy Roe	Dizzy	1969	Stateside	4 June 1969	1
272	The Beatles	The Ballad of John and Yoko	1969	Apple	11 June 1969	3
273	Thunderclap Newman	Something in the Air	1969	Track	2 July 1969	3
274	The Rolling Stones	Honky Tonk Women	1969	Decca	23 July 1969	5
275	Zager and Evans	In the Year 2525	1969	RCA	24 August 1969	3
276	Creedence Clearwater Revival	Bad Moon Rising	1969	Liberty	14 September 1969	3
277	Jane Birkin and Serge Gainsbourg	Je t'aime... moi non plus	1969	Major Minor	5 October 1969	1
278	Bobbie Gentry	I'll Never Fall in Love Again	1969	Capitol	12 October 1969	1
279	The Archies	Sugar, Sugar	1969	RCA	19 October 1969	8
280	Rolf Harris	Two Little Boys	1969	Columbia	14 December 1969	6
281	Edison Lighthouse	Love Grows (Where My Rosemary Goes)	1970	Bell	31 January 1970	5
282	Lee Marvin	Wand'rin' Star	1970	Paramount	7 March 1970	3
283	Simon & Garfunkel	Bridge over Troubled Water	1970	CBS	28 March 1970	3
284	Dana	All Kinds of Everything	1970	Rex	18 April 1970	2
285	Norman Greenbaum	Spirit in the Sky	1970	Reprise	2 May 1970	2
286	England World Cup Squad	Back Home	1970	Pye	16 May 1970	3
287	Christie	Yellow River	1970	CBS	6 June 1970	1
288	Mungo Jerry	In the Summertime 	1970	Dawn	13 June 1970	7
289	Elvis Presley	The Wonder of You	1970	RCA	1 August 1970	6
290	Smokey Robinson and the Miracles	The Tears of a Clown	1970	Tamla Motown	12 September 1970	1
291	Freda Payne	Band of Gold	1970	Invictus	19 September 1970	6
292	Matthews Southern Comfort	Woodstock	1970	Uni	31 October 1970	3
293	The Jimi Hendrix Experience	Voodoo Child (Slight Return)	1970	Track	21 November 1970	1
294	Dave Edmunds	I Hear You Knocking	1970	MAM	28 November 1970	6
295	Clive Dunn	Grandad	1971	Columbia	9 January 1971	3
296	George Harrison	My Sweet Lord	1971	Apple	30 January 1971	5
297	Mungo Jerry	Baby Jump	1971	Dawn	6 March 1971	2
298	T. Rex	Hot Love	1971	Fly	20 March 1971	6
299	Dave and Ansell Collins	Double Barrel	1971	Techniques	1 May 1971	2
300	Dawn	Knock Three Times	1971	Bell	15 May 1971	5
301	Middle of the Road	Chirpy Chirpy Cheep Cheep	1971	RCA	19 June 1971	5
302	T. Rex	Get It On	1971	Fly	24 July 1971	4
303	Diana Ross	I'm Still Waiting	1971	Tamla Motown	21 August 1971	4
304	The Tams	Hey Girl Don't Bother Me	1971	Probe	18 September 1971	3
305	Rod Stewart	Reason to Believe / Maggie May	1971	Mercury	9 October 1971	5
306	Slade	Coz I Luv You	1971	Polydor	13 November 1971	4
307	Benny Hill	Ernie (The Fastest Milkman in the West)	1971	Columbia	11 December 1971	4
308	The New Seekers	I'd Like to Teach the World to Sing (In Perfect Harmony)	1972	Polydor	8 January 1972	4
309	T. Rex	Telegram Sam	1972	T. Rex	5 February 1972	2
310	Chicory Tip	Son of My Father	1972	CBS	19 February 1972	3
311	Nilsson	Without You	1972	RCA	11 March 1972	5
312	Royal Scots Dragoon Guards	Amazing Grace	1972	RCA	15 April 1972	5
313	T. Rex	Metal Guru	1972	EMI	20 May 1972	4
314	Don McLean	Vincent	1972	United Artists	17 June 1972	2
315	Slade	Take Me Bak 'Ome	1972	Polydor	1 July 1972	1
316	Donny Osmond	Puppy Love	1972	MGM	8 July 1972	5
317	Alice Cooper	School's Out	1972	Warner Bros.	12 August 1972	3
318	Rod Stewart	You Wear It Well	1972	Mercury	2 September 1972	1
319	Slade	Mama Weer All Crazee Now	1972	Polydor	9 September 1972	3
320	David Cassidy	How Can I Be Sure	1972	Bell	30 September 1972	2
321	Lieutenant Pigeon	Mouldy Old Dough	1972	Decca	14 October 1972	4
322	Gilbert O'Sullivan	Clair	1972	MAM	11 November 1972	2
323	Chuck Berry	My Ding-a-Ling	1972	Chess	25 November 1972	4
324	Little Jimmy Osmond	Long Haired Lover from Liverpool	1972	MGM	23 December 1972	5
325	The Sweet	Blockbuster!	1973	RCA	27 January 1973	5
326	Slade	Cum On Feel the Noize	1973	Polydor	3 March 1973	4
327	Donny Osmond	The Twelfth of Never	1973	MGM	31 March 1973	1
328	Gilbert O'Sullivan	Get Down	1973	MAM	7 April 1973	2
329	Tony Orlando and Dawn	Tie a Yellow Ribbon Round the Ole Oak Tree	1973	Bell	21 April 1973	4
330	Wizzard	See My Baby Jive	1973	Harvest	19 May 1973	4
331	Suzi Quatro	Can the Can	1973	RAK	16 June 1973	1
332	10cc	Rubber Bullets	1973	UK	23 June 1973	1
333	Slade	Skweeze Me, Pleeze Me	1973	Polydor	30 June 1973	3
334	Peters and Lee	Welcome Home	1973	Philips	21 July 1973	1
335	Gary Glitter	I'm the Leader of the Gang (I Am)	1973	Bell	28 July 1973	4
336	Donny Osmond	Young Love	1973	MGM	25 August 1973	4
337	Wizzard	Angel Fingers	1973	Harvest	22 September 1973	1
338	Simon Park Orchestra	Eye Level	1973	Columbia	29 September 1973	4
339	David Cassidy	Daydreamer / The Puppy Song	1973	Bell	27 October 1973	3
340	Gary Glitter	I Love You Love Me Love	1973	Bell	17 November 1973	4
341	Slade	Merry Xmas Everybody	1973	Polydor	15 December 1973	5
342	The New Seekers	You Won't Find Another Fool Like Me	1974	Polydor	19 January 1974	1
343	Mud	Tiger Feet	1974	RAK	26 January 1974	4
344	Suzi Quatro	Devil Gate Drive	1974	RAK	23 February 1974	2
345	Alvin Stardust	Jealous Mind	1974	Magnet	9 March 1974	1
346	Paper Lace	Billy Don't Be a Hero	1974	Bus Stop	16 March 1974	3
347	Terry Jacks	Seasons in the Sun	1974	Bell	6 April 1974	4
348	ABBA	Waterloo	1974	Epic	4 May 1974	2
349	The Rubettes	Sugar Baby Love	1974	Polydor	18 May 1974	4
350	Ray Stevens	The Streak	1974	Janus	15 June 1974	1
351	Gary Glitter	Always Yours	1974	Bell	22 June 1974	1
352	Charles Aznavour	She	1974	Barclay	29 June 1974	4
353	George McCrae	Rock Your Baby	1974	Jay Boy	27 July 1974	3
354	The Three Degrees	When Will I See You Again	1974	Philadelphia International	17 August 1974	2
355	The Osmonds	Love Me for a Reason	1974	MGM	31 August 1974	3
356	Carl Douglas	Kung Fu Fighting	1974	Pye	21 September 1974	3
357	John Denver	Annie's Song	1974	RCA	12 October 1974	1
358	Sweet Sensation	Sad Sweet Dreamer	1974	Pye	19 October 1974	1
359	Ken Boothe	Everything I Own	1974	Trojan	26 October 1974	3
360	David Essex	Gonna Make You a Star	1974	CBS	16 November 1974	3
361	Barry White	You're the First, the Last, My Everything	1974	20th Century	7 December 1974	2
362	Mud	Lonely This Christmas	1974	RAK	21 December 1974	4
363	Status Quo	Down Down	1975	Vertigo	18 January 1975	1
364	The Tymes	Ms Grace	1975	RCA	25 January 1975	1
365	Pilot	January	1975	EMI	1 February 1975	3
366	Steve Harley & Cockney Rebel	Make Me Smile (Come Up and See Me)	1975	EMI	22 February 1975	2
367	Telly Savalas	If	1975	MCA	8 March 1975	2
368	Bay City Rollers	Bye Bye Baby	1975	Bell	22 March 1975	6
369	Mud	Oh Boy	1975	RAK	3 May 1975	2
370	Tammy Wynette	Stand by Your Man	1975	Epic	17 May 1975	3
371	Windsor Davies and Don Estelle	Whispering Grass	1975	EMI	7 June 1975	3
372	10cc	I'm Not in Love	1975	Mercury	28 June 1975	2
373	Johnny Nash	Tears on My Pillow	1975	CBS	12 July 1975	1
374	Bay City Rollers	Give a Little Love	1975	Bell	19 July 1975	3
375	Typically Tropical	Barbados	1975	Gull	9 August 1975	1
376	The Stylistics	Can't Give You Anything (But My Love)	1975	Avco	16 August 1975	3
377	Rod Stewart	Sailing	1975	Warner Bros.	6 September 1975	4
378	David Essex	Hold Me Close	1975	CBS	4 October 1975	3
379	Art Garfunkel	I Only Have Eyes for You	1975	CBS	25 October 1975	2
380	David Bowie	Space Oddity	1975	RCA	8 November 1975	2
